indice;maior_atraso ;margem_bruta_acumulada;prazo_medio_recebimento_vendas;titulos_em_aberto;diferenca_percentual_risco;percentualRisco;faturamento_bruto;margem_bruta;periodo_demonstrativo_em_meses;custos;ano_fundacao;capital_social;score_pontualidade;risco_baixo;risco_medio;risco_muito_baixo;grupo
2601;0;6.682.995.451;180;19653.29;6.964.285.714.285.710;3.035.714.285.714.280;8922545;0;12;0;2010;96000;1;1;0;0;2
2602;89;3.054.820.801;14;1600.0;4.821.428.571.428.570;5.178.571.428.571.420;224836;0;12;0;2017;100000;1;0;0;0;1
2603;449;3.599.072.196;24;7275.0;8.214.285.714.285.710;1.785.714.285.714.280;9996710;0;12;0;2003;1250000;0;1;0;0;2
2604;0;34.227.248.829.999.900;0;7560.0;8.571.428.571.428.570;1.428.571.428.571.420;24004120;2739746;12;21264374;2009;60000;1;1;0;0;2
2605;43;35.014.619.090.000.000;0;0.0;4.464.285.714.285.710;5.535.714.285.714.280;0;0;1;0;2016;95400;0;0;0;0;1
2606;16;2.955.400.152;0;8600.78;4.285.714.285.714.280;5.714.285.714.285.710;402863;0;12;0;2018;100000;0;0;0;0;1
2607;52;0.0;0;0.0;8.214.285.714.285.710;1.785.714.285.714.280;164644760;38433703;12;126211057;1996;3600000;0;1;0;0;2
2608;9;3.790.929.939;0;0.0;9.107.142.857.142.850;892.857.142.857.142;8582943;3808420;12;4774523;2003;150000;1;0;0;1;0
2609;7;4.280.845.933;17;134163.27;9.107.142.857.142.850;892.857.142.857.142;22898154;5636945;12;17261209;2000;1600000;0;0;0;1;0
2610;3;2.957.828.157;33;7349.67;8.571.428.571.428.570;1.428.571.428.571.420;5946032;0;12;0;2005;500000;1;1;0;0;2
2611;2;2.606.411.612;126;158627.16;0.75;0.25;0;0;1;0;2013;0;1;1;0;0;2
2612;7;5.012.921.889;13;2456.0;4.107.142.857.142.850;5.892.857.142.857.140;82864;0;5;0;2018;10000;1;0;0;0;1
2613;76;6.142.713.193;0;0.0;5.535.714.285.714.280;4.464.285.714.285.710;1272458;0;12;0;2016;20000;0;0;1;0;1
2614;7;5.994.995.681;75;17250.0;7.678.571.428.571.420;2.321.428.571.428.570;2798449;0;12;0;2016;200000;0;1;0;0;2
2615;0;5.352.177.562;158;44886.69;6.428.571.428.571.420;3.571.428.571.428.570;0;0;1;0;2003;500000;1;0;1;0;1
2616;25;37.167.603.340.000.000;63;176480.0;6.607.142.857.142.850;3.392.857.142.857.140;5252089;2298170;6;2953919;2008;100000;1;0;1;0;1
2617;0;36.976.268.729.999.900;0;0.0;0.75;0.25;0;0;1;0;2005;15556;1;1;0;0;2
2618;3;41.879.262;56;5777.8;8.571.428.571.428.570;1.428.571.428.571.420;2847212;2847212;12;0;2003;50000;1;1;0;0;2
